Time,emr-header-1/used,emr-worker-10/used,emr-worker-11/used,emr-worker-3/used,emr-worker-4/used,emr-worker-5/used,emr-worker-6/used,emr-worker-7/used,emr-worker-8/used,emr-worker-9/used,,
0:13:30,9364942848.00 ,3262656512.00 ,3332468736.00 ,3162554368.00 ,3199361024.00 ,3196907520.00 ,3204931584.00 ,3211653120.00 ,3323297792.00 ,3250479104.00 ,,38509252608.00 
0:13:45,9370611712.00 ,3267751936.00 ,3328516096.00 ,3164893184.00 ,3195863040.00 ,3196334080.00 ,3203833856.00 ,3213615104.00 ,3308220416.00 ,3247661056.00 ,,38497300480.00 
0:14:00,9375498240.00 ,3266711552.00 ,3333373952.00 ,3162619904.00 ,3197943808.00 ,3197603840.00 ,3205443584.00 ,3212865536.00 ,3307999232.00 ,3250446336.00 ,,38510505984.00 
0:14:15,9374658560.00 ,3265609728.00 ,3332591616.00 ,3165765632.00 ,3197202432.00 ,3199225856.00 ,3204808704.00 ,3213516800.00 ,3310592000.00 ,3258871808.00 ,,38522843136.00 
0:14:30,9361285120.00 ,3264266240.00 ,3334594560.00 ,3163234304.00 ,3200180224.00 ,3194527744.00 ,3208327168.00 ,3211227136.00 ,3321323520.00 ,3250876416.00 ,,38509842432.00 
0:14:45,9453801472.00 ,3266314240.00 ,3329126400.00 ,3174858752.00 ,3197755392.00 ,3195641856.00 ,3206340608.00 ,3212349440.00 ,3308208128.00 ,3248898048.00 ,,38593294336.00 
0:15:00,9361338368.00 ,3264770048.00 ,3334787072.00 ,3163799552.00 ,3201810432.00 ,3196280832.00 ,3202535424.00 ,3226746880.00 ,3311673344.00 ,3247988736.00 ,,38511730688.00 
0:15:15,9361801216.00 ,3264696320.00 ,3335032832.00 ,3162873856.00 ,3199651840.00 ,3198631936.00 ,3205222400.00 ,3215609856.00 ,3310669824.00 ,3249623040.00 ,,38503813120.00 
0:15:30,9360314368.00 ,3263492096.00 ,3341737984.00 ,3163234304.00 ,3200659456.00 ,3195461632.00 ,3204759552.00 ,3216404480.00 ,3321126912.00 ,3247968256.00 ,,38515159040.00 
0:15:45,9356853248.00 ,3274915840.00 ,3333545984.00 ,3165548544.00 ,3200303104.00 ,3197931520.00 ,3206217728.00 ,3217047552.00 ,3307417600.00 ,3249090560.00 ,,38508871680.00 
0:16:00,9363628032.00 ,3268337664.00 ,3332595712.00 ,3163070464.00 ,3198320640.00 ,3208318976.00 ,3204907008.00 ,3217563648.00 ,3323039744.00 ,3250151424.00 ,,38529933312.00 
0:16:15,9364090880.00 ,3269582848.00 ,3337138176.00 ,3165134848.00 ,3201363968.00 ,3198423040.00 ,3204939776.00 ,3219914752.00 ,3314614272.00 ,3250765824.00 ,,38525968384.00 
0:16:30,9386496000.00 ,3262431232.00 ,3336306688.00 ,3163717632.00 ,3200409600.00 ,3198345216.00 ,3208544256.00 ,3218079744.00 ,3325964288.00 ,3251552256.00 ,,38551846912.00 
0:16:45,9371328512.00 ,3266306048.00 ,3333906432.00 ,3166756864.00 ,3200929792.00 ,3203964928.00 ,3203616768.00 ,3220615168.00 ,3318632448.00 ,3250712576.00 ,,38536769536.00 
0:17:00,9365852160.00 ,3267407872.00 ,3335884800.00 ,3165872128.00 ,3200532480.00 ,3200954368.00 ,3204939776.00 ,3218870272.00 ,3316183040.00 ,3254702080.00 ,,38531198976.00 
0:17:15,9360752640.00 ,3268526080.00 ,3334361088.00 ,3167526912.00 ,3205541888.00 ,3201777664.00 ,3207655424.00 ,3217821696.00 ,3316424704.00 ,3253030912.00 ,,38533419008.00 
0:17:30,9360756736.00 ,3264221184.00 ,3334098944.00 ,3166769152.00 ,3196891136.00 ,3200208896.00 ,3206094848.00 ,3219136512.00 ,3328139264.00 ,3253366784.00 ,,38529683456.00 
0:17:45,9562083328.00 ,3268685824.00 ,3333640192.00 ,3169710080.00 ,3208798208.00 ,3202334720.00 ,3206205440.00 ,3219488768.00 ,3318480896.00 ,3256025088.00 ,,38745452544.00 
0:18:00,9961795584.00 ,3648561152.00 ,3696373760.00 ,3551236096.00 ,3568250880.00 ,4314279936.00 ,3580276736.00 ,3552739328.00 ,3675181056.00 ,3622629376.00 ,,43171323904.00 
0:18:15,9881182208.00 ,3657846784.00 ,3782770688.00 ,3615612928.00 ,3652968448.00 ,8481542144.00 ,3635060736.00 ,3657682944.00 ,3744845824.00 ,3683450880.00 ,,47792963584.00 
0:18:30,9890803712.00 ,3763847168.00 ,7171829760.00 ,7069290496.00 ,6916485120.00 ,8567160832.00 ,7158153216.00 ,5793120256.00 ,7264698368.00 ,7139680256.00 ,,70735069184.00 
0:18:45,9889562624.00 ,3768508416.00 ,9094483968.00 ,8921505792.00 ,8901353472.00 ,9115496448.00 ,8977547264.00 ,8803835904.00 ,9081405440.00 ,9027571712.00 ,,85581271040.00 
0:19:00,9892257792.00 ,3774812160.00 ,10363752448.00 ,10175819776.00 ,10092359680.00 ,9953587200.00 ,10236289024.00 ,10080731136.00 ,10346598400.00 ,10284400640.00 ,,95200608256.00 
0:19:15,9889345536.00 ,3787972608.00 ,11526508544.00 ,11355152384.00 ,11430305792.00 ,11211866112.00 ,11415703552.00 ,11305889792.00 ,11530809344.00 ,11475931136.00 ,,104929484800.00 
